2013 10 14 12:23:27 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 12:23:27 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 12:23:27 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 12:30:29 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 12:47:17 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 12:47:17 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 12:47:22 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 12:47:22 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 01:22:17 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 01:22:17 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 01:22:21 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 01:22:21 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 01:26:22 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 01:26:22 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 01:26:26 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 01:26:26 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 01:31:10 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 01:31:10 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 01:31:19 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 01:31:19 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 02:05:42 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 02:05:42 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 02:05:44 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 02:05:44 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 02:05:47 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 14 02:05:47 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 14 02:05:50 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
