2013 10 10 08:34:38 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:34:38 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:53:53 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:53:53 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:53:54 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:53:54 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:53:55 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:53:55 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:53:59 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:53:59 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:55:08 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:55:08 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:55:25 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:55:25 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:55:27 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:55:27 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:55:28 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:55:28 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 08:55:29 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 08:55:29 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:00:09 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:00:09 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:00:10 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:00:10 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:00:11 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:00:11 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:00:12 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:00:12 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:06:17 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:06:17 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:06:48 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:06:48 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:16:23 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 10 09:16:23 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 10 09:16:32 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
