2013 10 12 03:54:56 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:54:58 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:55:00 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:55:00 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:55:01 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:55:42 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:56:25 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:56:35 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:56:38 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 03:56:40 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:00:58 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:01:02 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:01:39 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:01:39 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:01:50 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:01:50 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:11:55 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:11:55 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:13:22 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:13:22 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:13:25 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:13:25 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:13:26 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:13:26 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:13:32 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:13:32 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:21:58 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:21:59 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:22:29 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:22:29 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:23:08 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:23:08 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:27:56 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:27:56 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:30:13 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:30:13 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:30:14 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:30:14 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 12 04:31:23 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 12 04:31:23 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
